Task_ID,Stage,Task,Owner,Start_Date,Due_Date,Status,Dependency,Output_File,Approval_Required,Approved_By,Approval_Date,Notes
1,Intake,Confirm brief and rubric,,,,Not started,,,,,,
2,Scope,Complete feasibility search,,,,Not started,1,,,,,
3,Question,Finalize problem question and objectives,,,,Not started,2,,,,,
4,Protocol,Approve method search and eligibility plan,,,,Not started,3,,,,,
5,Search,Run and document database searches,,,,Not started,4,,,,,
6,Screening,Deduplicate and screen records,,,,Not started,5,,,,,
7,Appraisal,Critically appraise included sources,,,,Not started,6,,,,,
8,Extraction,Complete evidence matrix,,,,Not started,7,,,,,
9,Synthesis,Develop themes framework and gap,,,,Not started,8,,,,,
10,Analysis,Complete data or evidence analysis,,,,Not started,9,,,,,
11,Outline,Approve detailed argument outline,,,,Not started,10,,,,,
12,Drafting,Complete full draft,,,,Not started,11,,,,,
13,Revision,Complete content and method revisions,,,,Not started,12,,,,,
14,QA,Complete citation APA and language audits,,,,Not started,13,,,,,
15,Submission,Submit final package and archive,,,,Not started,14,,,,,
